Scenario Name,Heap Size,Concurrent Users,Label,# Samples,Error Count,Error %,Throughput (Requests/sec),Average Response Time (ms),Standard Deviation of Response Time (ms),Minimum Response Time (ms),Maximum Response Time (ms),75th Percentile of Response Time (ms),90th Percentile of Response Time (ms),95th Percentile of Response Time (ms),98th Percentile of Response Time (ms),99th Percentile of Response Time (ms),99.9th Percentile of Response Time (ms),Received (KB/sec),Sent (KB/sec),WSO2 Identity Server 1 GC Throughput (%),WSO2 Identity Server 1 Memory Footprint (M),Average WSO2 Identity Server 1 Memory Footprint After Full GC (M),Standard Deviation of WSO2 Identity Server 1 Memory Footprint After Full GC (M),WSO2 Identity Server 2 GC Throughput (%),WSO2 Identity Server 2 Memory Footprint (M),Average WSO2 Identity Server 2 Memory Footprint After Full GC (M),Standard Deviation of WSO2 Identity Server 2 Memory Footprint After Full GC (M),JMeter Client GC Throughput (%),JMeter Client Memory Footprint (M),Average JMeter Client Memory Footprint After Full GC (M),Standard Deviation of JMeter Client Memory Footprint After Full GC (M),WSO2 Identity Server 1 Load Average - Last 1 minute,WSO2 Identity Server 1 Load Average - Last 5 minutes,WSO2 Identity Server 1 Load Average - Last 15 minutes,WSO2 Identity Server 2 Load Average - Last 1 minute,WSO2 Identity Server 2 Load Average - Last 5 minutes,WSO2 Identity Server 2 Load Average - Last 15 minutes,JMeter Client Load Average - Last 1 minute,JMeter Client Load Average - Last 5 minutes,JMeter Client Load Average - Last 15 minutes
Client Credentials Grant Type,4G,50,1 Get Token Client Credential Grant,1298089,0,0,2162.98,22.68,20.58,2,296,30,50,65,85,99,145,3175.62,730.4,,,,,,,,,,,,,15.81,15.89,10.5,17.04,16.3,10.66,0.89,1.03,0.73
Client Credentials Grant Type,4G,100,1 Get Token Client Credential Grant,1265363,0,0,2107.93,46.99,58.14,2,866,58,117,167,232,281,439,3094.8,711.81,,,,,,,,,,,,,18.99,17.51,14.18,24.98,22.78,17.61,0.93,0.91,0.78
Client Credentials Grant Type,4G,150,1 Get Token Client Credential Grant,1260384,0,0,2098.85,71.01,106.35,2,1358,78,202,305,425,509,755,3081.46,708.74,,,,,,,,,,,,,15.43,14.79,13.59,21.84,23.95,20.99,0.89,0.84,0.81
Client Credentials Grant Type,4G,300,1 Get Token Client Credential Grant,1251702,0,0,2082.55,143.54,252.73,2,4069,140,477,707,967,1159,1799,3057.53,703.24,,,,,,,,,,,,,15.3,15.03,13.32,34.9,31.79,26.5,1.02,1.38,1.18
Client Credentials Grant Type,4G,500,1 Get Token Client Credential Grant,1248166,0,0,2074.73,240.3,447.69,2,8563,250,807,1191,1671,2047,3487,3046.05,700.6,,,,,,,,,,,,,13.52,13.57,12.21,30.54,32.65,29.87,0.89,1.01,1.01
